Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
SWS Operating Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,30236.28,116603.07,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Miscellaneous,2844,3544,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,75178.81,342997.12,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Household Garbage Collect,Capital Equipment,-141768,314432,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Household Garbage Collect,Direct Expenses,-1218239,5615968,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Household Garbage Collect,Employee Benefits,50249.28,1100267.3,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Household Garbage Collect,Miscellaneous,110762,4280443,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Household Garbage Collect,Salaries and Wages,83233.05,3635270.14,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Residential Recycling,Employee Benefits,-8824.19,,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Residential Recycling,Salaries and Wages,-35736.93,,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Yard Waste Collection,Direct Expenses,12623,19800,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Yard Waste Collection,Employee Benefits,33326.41,434530.72,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Yard Waste Collection,Miscellaneous,11134,11134,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Yard Waste Collection,Salaries and Wages,115887.03,1230076.92,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,Direct Expenses,-25000,300000,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,Miscellaneous,13861,388861,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Capital Equipment,65000,65000,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Direct Expenses,46208,1248968,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Employee Benefits,-351.26,116377.08,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Interfund Transfers In/Out,20700,36600,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Miscellaneous,8422,13572,FALSE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-Yardwaste Operations,Salaries and Wages,20859.6,379912.6,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2013/2014,Employee Benefits,-158771.29,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2013/2014,Salaries and Wages,-530935.65,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Capital Equipment,-25000,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Direct Expenses,-1926322,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Employee Benefits,-138745.75,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Interfund Transfers In/Out,-100000,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Miscellaneous,-39170,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,Salaries and Wages,-324248.31,,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Capital Equipment,8000,8000,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Direct Expenses,1603490.5,1603490.5,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Employee Benefits,312438.5,312438.5,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Interfund Transfers In/Out,100000,100000,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Miscellaneous,37000,37000,FALSE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,Salaries and Wages,920559,920559,FALSE
Utility Debt Service Fund,Treasury Office,Garner Debt Svc Funding,Capital Project Expense,-26400,,FALSE
Utility Debt Service Fund,Treasury Office,Knightdale Debt Svc Funding,Capital Project Expense,-6470,387430,FALSE
Utility Debt Service Fund,Treasury Office,Non Program Expenditures,Capital Project Expense,1100000,1100000,FALSE
Utility Debt Service Fund,Treasury Office,Rolesville Debt Svc Funding,Capital Project Expense,55,38555,FALSE
Utility Debt Service Fund,Treasury Office,Sewer Revolving Loan Interest,Capital Project Expense,-33689,341711,FALSE
Utility Debt Service Fund,Treasury Office,Sewer Revolving Loan Principal,Capital Project Expense,-50050,1855950,FALSE
Utility Debt Service Fund,Treasury Office,Sewer St Bond Loan Interest,Capital Project Expense,-14862,3438,FALSE
Utility Debt Service Fund,Treasury Office,Sewer St Bond Loan Principal,Capital Project Expense,0,250000,FALSE
Utility Debt Service Fund,Treasury Office,Town Of Wendell Debt Svc Fundi,Capital Project Expense,-278062,487838,FALSE
Utility Debt Service Fund,Treasury Office,Utility Debt Svc,Capital Project Expense,1724068,51843068,FALSE
Utility Debt Service Fund,Treasury Office,Utility Debt Svc,Direct Expenses,163000,1067000,FALSE
Utility Debt Service Fund,Treasury Office,Wake Forest Debt Svc Funding,Capital Project Expense,-22225,634775,FALSE
Utility Debt Service Fund,Treasury Office,Zebulon Debt Svc Funding,Capital Project Expense,-7350,169350,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Administrative,Employee Benefits,-4345.25,14655.19,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Administrative,Salaries and Wages,-9584.32,41317.44,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,General/Fixed Costs,Direct Expenses,-22000,100000,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,General/Fixed Costs,Interfund Transfers In/Out,0,1000000,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Performing Arts Center,Employee Benefits,-5442.32,8806.78,FALSE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Performing Arts Center,Salaries and Wages,-19819.85,29845.59,FALSE
Water Infrastructure,Non-Departmental,Non-Program Revenues,Interfund Transfers In/Out,831578,3720000,FALSE
Watershed Protection Fee Fund,Non-Departmental,Non-Program Revenues,Interfund Transfers In/Out,2250000,2250000,FALSE
Community Dev Block Grant,Community Development,Non-Program Revenues,DNU Unknown Breakdown,311540,3965369,TRUE
Conv Ctr Financing Fd-Spec Rev,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-4376064,24941936,TRUE
E 911 State Tax Fund-Operating,Emergency Communications,Non-Program Revenues,DNU Unknown Breakdown,645762.33,3280636.34,TRUE
Economic Development Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-149006,1786944,TRUE
Emergency Shelter Grant,Community Development,Non-Program Revenues,DNU Unknown Breakdown,-217085,,TRUE
Emergency Solution Grant,Community Development,Non-Program Revenues,DNU Unknown Breakdown,239845,239845,TRUE
General Debt Service Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,9753137,65495521,TRUE
General Debt Service Fund,Treasury Office,Non-Program Revenues,DNU Unknown Breakdown,7901285,10991201,TRUE
General Fund,Development Services,Non-Program Revenues,DNU Unknown Breakdown,816500,1525200,TRUE
General Fund,Emergency Communications,Non-Program Revenues,DNU Unknown Breakdown,79868,2551540,TRUE
General Fund,Fire Adm,Non-Program Revenues,DNU Unknown Breakdown,270688,3024337,TRUE
General Fund,Information Technology Admin,Community Tech Outreach-IT,DNU Unknown Breakdown,20000,20000,TRUE
General Fund,Inspections,Non-Program Revenues,DNU Unknown Breakdown,1051075,8495200,TRUE
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,DNU Unknown Breakdown,16728,16728,TRUE
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,DNU Unknown Breakdown,-67669,478700,TRUE
General Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,15563731,403077232,TRUE
General Fund,Office of Economic Development,Non-Program Revenues,DNU Unknown Breakdown,0,6000,TRUE
General Fund,Planning,Non-Program Revenues,DNU Unknown Breakdown,-347466,543900,TRUE
General Fund,Police Administrative Services,Non-Program Revenues,DNU Unknown Breakdown,20000,1322677,TRUE
General Fund,PRCR - Business Process Mgmt,Non-Program Revenues,DNU Unknown Breakdown,0,30000,TRUE
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,DNU Unknown Breakdown,6612,410612,TRUE
General Fund,PRCR - F&O - Park Fac Maint,Non-Program Revenues,DNU Unknown Breakdown,0,35000,TRUE
General Fund,PRCR - Parks - Cemetery Maint,Non-Program Revenues,DNU Unknown Breakdown,-13000,87000,TRUE
General Fund,PRCR - Recreation,Aquatics Administration,DNU Unknown Breakdown,10000,210000,TRUE
General Fund,PRCR - Recreation,Non-Program Revenues,DNU Unknown Breakdown,237494.83,3755360,TRUE
General Fund,PRCR - Recreation-School Based,Non-Program Revenues,DNU Unknown Breakdown,-86300,1750000,TRUE
General Fund,Public Affairs-RTN,Non-Program Revenues,DNU Unknown Breakdown,-64388,4685612,TRUE
General Fund,Public Works,Non-Program Revenues,DNU Unknown Breakdown,582701,2776875,TRUE
General Fund,Purchasing,Non-Program Revenues,DNU Unknown Breakdown,125000,125000,TRUE
Grants Fund,Community Svcs,Grant Year 2015/2016,DNU Unknown Breakdown,387240,387240,TRUE
Grants Fund,Police Administrative Services,Grant Year 2015/2016,DNU Unknown Breakdown,24124,24124,TRUE
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,DNU Unknown Breakdown,121355,121355,TRUE
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,DNU Unknown Breakdown,1085276,1085276,TRUE
Home Grant,Community Development,Grant Year 2014/2015,DNU Unknown Breakdown,-241463,,TRUE
Home Grant,Community Development,Non-Program Revenues,DNU Unknown Breakdown,219996,1703842,TRUE
Housing Development-Operating,Community Development,Housing Programs,DNU Unknown Breakdown,16767,364267,TRUE
Housing Development-Operating,Community Development,Non-Program Revenues,DNU Unknown Breakdown,-218170,979363,TRUE
Housing Development-Projects,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-500000,,TRUE
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-700000,7025000,TRUE
Parking Facilities Fund-Operat,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-12000,,TRUE
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,DNU Unknown Breakdown,1844390.37,17849614.71,TRUE
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,DNU Unknown Breakdown,95415,8155504,TRUE
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,DNU Unknown Breakdown,1888894.66,21108819.9,TRUE
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,DNU Unknown Breakdown,30339232,237995866,TRUE
RCC/PAC Debt Svc Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,14920,18497920,TRUE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,DNU Unknown Breakdown,-99560.4,1373305,TRUE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,DNU Unknown Breakdown,603908,6042758,TRUE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,DNU Unknown Breakdown,11154.27,380067,TRUE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,DNU Unknown Breakdown,665000,1993500,TRUE
RCC/PAC Operations Fund,RCC Facility,Administrative,DNU Unknown Breakdown,-60421,30271,TRUE
RCC/PAC Operations Fund,RCC Facility,Convention Center,DNU Unknown Breakdown,-954935.58,7377184.42,TRUE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,DNU Unknown Breakdown,0,1000000,TRUE
RCC/PAC Operations Fund,RCC/PAC Special Events,Administrative,DNU Unknown Breakdown,91899.5,184188,TRUE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,DNU Unknown Breakdown,35500,270000,TRUE
Revolving Fund,City Manager,Environmental Awards Program,DNU Unknown Breakdown,-9500,,TRUE
Revolving Fund,Community Svcs,Citizen Involvment,DNU Unknown Breakdown,0,30000,TRUE
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,DNU Unknown Breakdown,0,300000,TRUE
Revolving Fund,Fire Training,Fire-Usar Team Expd,DNU Unknown Breakdown,13971,176381,TRUE
Revolving Fund,Inspections,Inspections Training Program,DNU Unknown Breakdown,0,1400,TRUE
Revolving Fund,Office of Sustainability,Environmental Awards Program,DNU Unknown Breakdown,9500,9500,TRUE
Revolving Fund,Planning,Appearance Commission,DNU Unknown Breakdown,6000,8000,TRUE
Revolving Fund,Planning,Ral Historic District Loan Fun,DNU Unknown Breakdown,23610,23610,TRUE
Revolving Fund,Police Administrative Services,Community Watch Signs,DNU Unknown Breakdown,0,4940,TRUE
Revolving Fund,Police Administrative Services,Police Donations,DNU Unknown Breakdown,20000,24000,TRUE
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance,DNU Unknown Breakdown,-19000,16000,TRUE
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,DNU Unknown Breakdown,-3000,60000,TRUE
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,DNU Unknown Breakdown,30000,55000,TRUE
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,DNU Unknown Breakdown,7737,20737,TRUE
Revolving Fund,PRCR - Recreation,Adventure Camps,DNU Unknown Breakdown,-15035,90315,TRUE
Revolving Fund,PRCR - Recreation,Anderson Point,DNU Unknown Breakdown,0,45000,TRUE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,DNU Unknown Breakdown,-23200,496700,TRUE
Revolving Fund,PRCR - Recreation,Athletics,DNU Unknown Breakdown,-33000,257000,TRUE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,DNU Unknown Breakdown,173600,463600,TRUE
Revolving Fund,PRCR - Recreation,Esl Program,DNU Unknown Breakdown,2850,8500,TRUE
Revolving Fund,PRCR - Recreation,General Recreation,DNU Unknown Breakdown,-278500,,TRUE
Revolving Fund,PRCR - Recreation,Golden Years,DNU Unknown Breakdown,60000,280000,TRUE
Revolving Fund,PRCR - Recreation,Non-Program Revenues,DNU Unknown Breakdown,-267381,3959450,TRUE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,DNU Unknown Breakdown,-120210,264790,TRUE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,DNU Unknown Breakdown,12000,285000,TRUE
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,DNU Unknown Breakdown,-13000,79000,TRUE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,DNU Unknown Breakdown,3500,26000,TRUE
Revolving Fund,PRCR - Recreation,Teen Programs,DNU Unknown Breakdown,-45000,375000,TRUE
Revolving Fund,PRCR - Recreation,Tennis,DNU Unknown Breakdown,3000,413000,TRUE
Revolving Fund,PRCR - Recreation,Tucker Mansion,DNU Unknown Breakdown,7000,35000,TRUE
Revolving Fund,PRCR - Recreation,Vhip,DNU Unknown Breakdown,-10400,57000,TRUE
Revolving Fund,PRCR - Recreation,Youth Programs,DNU Unknown Breakdown,107000,550000,TRUE
Revolving Fund,PRCR - Resources,Arts Commission,DNU Unknown Breakdown,0,85535,TRUE
Revolving Fund,Public Affairs-RTN,Ctv Equipment,DNU Unknown Breakdown,13000,448000,TRUE
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,2422911,8535000,TRUE
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,-39476,25000,TRUE
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,DNU Unknown Breakdown,1099688,17723688,TRUE
SWS Debt Service Fund,Solid Waste Admin,Non-Program Revenues,DNU Unknown Breakdown,-28000,2038000,TRUE
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,DNU Unknown Breakdown,2539234,25884668,TRUE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,DNU Unknown Breakdown,-1737575,9890508,TRUE
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,DNU Unknown Breakdown,-25000,300000,TRUE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,DNU Unknown Breakdown,-3243193,,TRUE
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2015/2016,DNU Unknown Breakdown,2981488,2981488,TRUE
Utility Debt Service Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,2548015,58179115,TRUE
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,General/Fixed Costs,DNU Unknown Breakdown,-61191.74,1194625,TRUE
Water Infrastructure,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,831578,3720000,TRUE
Watershed Protection Fee Fund,Non-Departmental,Non-Program Revenues,DNU Unknown Breakdown,2250000,2250000,TRUE
