Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,FICA Temp,0,2487.68,false,0
Economic Development Fund,Budget & Management Services,Direct Expenses,Contractual Svcs-Other,0,2500,false,0
General Fund,Budget & Management Services,Direct Expenses,Office Supplies,-1500,2500,false,0
General Fund,Inspections,Direct Expenses,Print Copy-Rmb,0,2500,false,0
General Fund,IT Strategy & Planning,Miscellaneous,Advertising,-1500,2500,false,0
General Fund,Office of Sustainability,Miscellaneous,Advertising,0,2500,false,0
General Fund,Office of the Fire Marshall,Direct Expenses,Uniforms,0,2500,false,0
General Fund,Public Affairs-RTN,Direct Expenses,Office Supplies,0,2500,false,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Training & Travel & Reg,0,2500,false,0
Public Utilities Fund,PU Meters,Direct Expenses,Telephone/Comm (Hard Lines),0,2500,false,0
Public Utilities Fund,PU Utility Billing,Direct Expenses,Motor Pool Vehicle Use Costs,1500,2500,false,0
Public Utilities Fund,Public Utilities Admin,Capital Equipment,Capital Equipment-Other,0,2500,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Copier Maintenance/Impressions,0,2506,false,0
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,Expense Allowance,0,2532,false,0
General Fund,PRCR - Resources,Direct Expenses,Repairs-Other Equip,-450,2550,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Supplemental Retirement,-1685.48,2556.72,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Medicare Temp,-1199.15,2566.5,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Medicare,100.13,2581.79,false,0
General Fund,Public Works,Employee Benefits,Medicare Temp,2470.94,2597.71,false,0
General Fund,Public Affairs,Direct Expenses,Copier Maintenance/Impressions,300,2600,false,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,Photocopy Maint,0,2600,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Professional Svcs-Other,0,2600,false,0
General Fund,Fire Operations,Direct Expenses,Photocopy Maint,0,2609,false,0
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,To 501 Technology Cap Proj,-3642,2621,false,0
Revolving Fund,Office of Sustainability,Direct Expenses,Operational & Maint Supplies,2650,2650,false,0
General Fund,Community Svcs,Salaries and Wages,Salary Reserve,2652,2652,false,0
General Fund,Development Services,Employee Benefits,Group Life Ad & Di,518.76,2664.36,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Computer Operations & Access,1950,2681.77,false,0
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,Retirement Temp,0,2685.76,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Medicare,718.5,2694.38,false,0
General Fund,Development Services,Direct Expenses,Computer Operations & Access,300,2700,false,0
General Fund,Internal Audit Office,Direct Expenses,Computer Lease,0,2700,false,0
Rcc/Pac Operations Fund,RCC Facility,Miscellaneous,Mileage Reimb,1400,2700,false,0
SWS Operating Fund,Solid Waste Residential Collec,Miscellaneous,Licenses/Dues & Publications,-200,2700,false,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Expense Allowance,0,2701,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Rsv-Wide Area Network,0,2703,false,0
Grants Fund,Community Svcs,Employee Benefits,Social Security,2704.63,2704.63,false,0
General Fund,Fire Training,Direct Expenses,Photocopy Maint,0,2708,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Retirement Temp,814,2744.66,false,0
General Fund,Inspections,Direct Expenses,Small Equipment,2250,2750,false,0
General Fund,PRCR - Recreation,Miscellaneous,Records Storage Retention Svcs,2750,2750,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Supplemental Retire-Police,2750,2750,false,0
General Fund,Fire Support Svcs,Employee Benefits,FICA Temp,218.98,2758.5,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Safety/Medical Supplies,0,2760,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Longevity,2587.09,2773.21,false,0
General Fund,Accounting & Fin Reporting,Miscellaneous,Records Storage Retention Svcs,900,2800,false,0
General Fund,Human Resources,Miscellaneous,Postage - Dept Charges,0,2800,false,0
Revolving Fund,Office of Sustainability,Direct Expenses,Contractual Svcs-Other,2800,2800,false,0
General Fund,PRCR - Parks -Park Maintenance,Miscellaneous,Mileage Reimb,0,2806,false,0
General Fund,Transportation Field Services,Employee Benefits,Medicare Temp,-93.85,2818.97,false,0
General Fund,PRCR - Business Process Mgmt,Employee Benefits,FICA Temp,4445.21,2832.22,false,0
Public Utilities Fund,PU Meters,Employee Benefits,Group Life Ad & Di,131.33,2863.71,false,0
General Fund,Human Resources,Direct Expenses,Repairs-Office Equip,-500,2875,false,0
General Fund,Payroll,Direct Expenses,Photocopy Maint,0,2900,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Office Supplies,0,2900,false,0
General Fund,PW-Safelight,Employee Benefits,Social Security,-1221.67,2921.75,false,0
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,Retirement Temp,0,2928.85,false,0
General Fund,Police Detective Division,Capital Equipment,Office Furniture & Equip,-15000,2930,false,0
General Fund,Public Affairs,Direct Expenses,Photocopy Maint,0,2930,false,0
Housing Development-Operating,Community Development,Direct Expenses,Motor Fuels & Lubricants,0,2930,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,Retirement Temp,725.2,2930.4,false,0
General Fund,Police Special Operations,Direct Expenses,Print Copy-Rmb,0,2932,false,0
General Fund,Internal Audit Office,Employee Benefits,Dental Insurance,468.24,2941.64,false,0
General Fund,Budget & Management Services,Direct Expenses,Copier Maintenance/Impressions,0,2950,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Employee Benefits,FICA Temp,806,2976,false,0
General Fund,City Clerk,Direct Expenses,Photocopy Maint,0,2980,false,0
General Fund,City Clerk,Direct Expenses,Computer Lease,180,2986,false,0
General Fund,City Attorney,Direct Expenses,Wireless Data Comm,0,2986.36,false,0
General Fund,Fire Adm,Miscellaneous,Postage - Dept Charges,0,3000,false,0
General Fund,Inspections,Direct Expenses,Service Contracts-Other,3000,3000,false,0
General Fund,Office of the Fire Marshall,Direct Expenses,Small Equipment,0,3000,false,0
General Fund,Police Chiefs Office,Capital Equipment,Office Furniture & Equip,0,3000,false,0
General Fund,Police Detective Division,Direct Expenses,Service Contracts-Other,0,3000,false,0
General Fund,PRCR - Business Process Mgmt,Miscellaneous,Licenses/Dues & Publications,-100,3000,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Landscape/Grounds Maint Suppli,0,3000,false,0
General Fund,PRCR - Recreation-School Based,Other Expense,Background Invest,1000,3000,false,0
General Fund,PRCR - Resources,Miscellaneous,Advertising,0,3000,false,0
General Fund,Public Affairs,Capital Equipment,Audio Visual Equip,0,3000,false,0
General Fund,Public Affairs,Direct Expenses,Office Supplies,-2100,3000,false,0
General Fund,Public Affairs-RTN,Direct Expenses,Computer Lease,-1732,3000,false,0
General Fund,Public Affairs-RTN,Direct Expenses,Vehicle Maint & Operation,300,3000,false,0
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,Print Copy-Rmb,-5000,3000,false,0
Public Utilities Fund,PU Water Distribution,Direct Expenses,Equipment Repair Parts,-1000,3000,false,0
Public Utilities Fund,PU Water Plant,Capital Equipment,Shop Tools & Equip,3000,3000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Miscellaneous,Advertising,0,3000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Repairs-Other Equip,0,3000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,RCC/PAC Airfare Exp,3000,3000,false,0
Stormwater Utility Fund,Stormwater Management,Miscellaneous,"Govt Taxes, Fees & Fines",3000,3000,false,0
Stormwater Utility Fund,Stormwater Management,Miscellaneous,Organization Dev & Training,-1000,3000,false,0
Stormwater Utility Fund,Stormwater Management,Miscellaneous,Postage,0,3000,false,0
SWS Operating Fund,Solid Waste Admin,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,0,3000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Capital Equipment,Computer Equip,-12000,3000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Direct Expenses,Computer Lease,0,3000,false,0
General Fund,Development Services,Non-Program Revenues,Insp-Cert Of Eligibility,500,3000,true,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Zoning-P/N Vehicle,0,3000,true,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Fees/Sales,3000,3000,true,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,Group Life Ad & Di,105.91,3017.17,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Uniforms,0,3025,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,To ISF-WC Excess Premium,-906,3026,false,0
Stormwater Utility Fund,Stormwater Management,Direct Expenses,Telephone/Comm (Hard Lines),1550,3050,false,0
General Fund,Office of Sustainability,Salaries and Wages,Longevity,1927.01,3052.4,false,0
Grants Fund,Community Svcs,Employee Benefits,Retirement,3053.61,3053.61,false,0
General Fund,Stormwater Street Maintenance,Other Expense,To ISF-WC Excess Premium,-674,3064,false,0
General Fund,Fire Adm,Direct Expenses,Print Copy-Rmb,0,3100,false,0
Stormwater Utility Fund,Stormwater Management,Direct Expenses,Training Supplies,-400,3100,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Computer Lease,786.15,3125.15,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Medicare,1327.12,3130.94,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Copier Maintenance/Impressions,1252,3131,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Administrative,Fr 230 Self Insurance,3139,3139,true,0
General Fund,Payroll,Employee Benefits,Dental Insurance,908.4,3149.28,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Rental-Equipment,1000,3170,false,0
General Fund,Fire Operations,Direct Expenses,Repairs-Other Equip,0,3200,false,0
General Fund,Planning,Direct Expenses,Wan Data Line,0,3200,false,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Records Storage Retention Svcs,700,3200,false,0
Revolving Fund,Fire Training,Direct Expenses,Wireless Data Comm,3200,3200,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Rental-Equipment,0,3208,false,0
Public Utilities Fund,PU Meters,Direct Expenses,Rental-Equipment,0,3208,false,0
General Fund,Office of Economic Development,Direct Expenses,Computer Lease,0,3212,false,0
General Fund,Construction Mgmt,Direct Expenses,Copier Maintenance/Impressions,-83,3219,false,0
General Fund,Community Svcs,Salaries and Wages,Expense Allowance,0,3221,false,0
General Fund,Purchasing,Employee Benefits,Dental Insurance,408.24,3249.12,false,0
General Fund,City Council,Direct Expenses,Contractual Svcs-Other,0,3250,false,0
General Fund,Inspections,Direct Expenses,Computer Operations & Access,2250,3250,false,0
General Fund,Planning,Employee Benefits,Group Life Ad & Di,150.06,3277.49,false,0
General Fund,City Clerk,Salaries and Wages,Expense Allowance,0,3298,false,0
General Fund,PW-Safelight,Employee Benefits,Retirement,-1426.09,3298.75,false,0
General Fund,City Clerk,Miscellaneous,Postage - Dept Charges,0,3300,false,0
General Fund,Public Affairs,Salaries and Wages,Expense Allowance,0,3301,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance,-421.73,3361.1,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Repairs-Other Equip,0,3375,false,0
Revolving Fund,Planning,Ral Historic District Loan Fun,Approp From Prior Year,3375,3375,true,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,Copier Maintenance/Impressions,0,3400,false,0
Public Utilities Fund,PU Utility Billing,Direct Expenses,Operational & Maint Supplies,0,3400,false,0
General Fund,PRCR - Parks -Park Maintenance,Miscellaneous,Licenses/Dues & Publications,300,3429,false,0
Public Transit Fund-Operating,Transit Operations,Direct Expenses,Wireless Data Comm,1328,3444,false,0
General Fund,Purchasing,Salaries and Wages,Longevity,-467.82,3451.07,false,0
General Fund,PRCR - Strategic Plan & Devel,Direct Expenses,Motor Fuels & Lubricants,-2000,3452,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Operational & Maint Supplies,-530,3470,false,0
General Fund,Police Administrative Services,Employee Benefits,Group Life Ad & Di,133.51,3471.29,false,0
Revolving Fund,PRCR - Recreation,Employee Benefits,Social Security,3472,3472,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Medicare,478.67,3479.32,false,0
General Fund,City Clerk,Miscellaneous,Training & Travel & Reg,0,3500,false,0
General Fund,City Council,Direct Expenses,Operational & Maint Supplies,-600,3500,false,0
General Fund,Inspections,Direct Expenses,Uniforms,1200,3500,false,0
General Fund,IT Strategy & Planning,Miscellaneous,Records Storage Retention Svcs,-2272,3500,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Capital Equipment,Office Furniture & Equip,3500,3500,false,0
General Fund,Payroll,Direct Expenses,Computer Lease,-1000,3500,false,0
General Fund,Public Affairs,Direct Expenses,Computer Operations & Access,568,3500,false,0
Public Utilities Fund,PU Meters,Miscellaneous,Landfill Charges,-4000,3500,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Supplemental Retire-Police,250,3500,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Direct Expenses,Computer Operations & Access,-1400,3500,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Supplemental Retire-Police,0,3500,false,0
General Fund,Planning,Non-Program Revenues,Inspect-Homeowner Recover Fee-,0,3500,true,0
Revolving Fund,Office of Sustainability,Environmental Awards Program,Approp From Prior Year,3500,3500,true,0
General Fund,Development Services,Miscellaneous,Mileage Reimb,2644,3540,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Photocopy Maint,0,3548,false,0
General Fund,Inspections,Employee Benefits,Group Life Ad & Di,451.81,3591.22,false,0
Community Dev Block Grant,Community Development,Employee Benefits,Medicare Supplement,3600,3600,false,0
General Fund,Construction Mgmt,Direct Expenses,Professional Svcs-Other,0,3600,false,0
General Fund,Payroll,Direct Expenses,Copier Maintenance/Impressions,0,3600,false,0
General Fund,Police Chiefs Office,Direct Expenses,Computer Lease,0,3600,false,0
General Fund,Public Works,Miscellaneous,Records Storage Retention Svcs,-3300,3600,false,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,Rsv-Wide Area Network,0,3600,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Cellular/Wireless Voice Lines,0,3600,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Supplemental Retirement,961.63,3605.76,false,0
General Fund,PRCR - Parks - Highway Maint,Miscellaneous,Training & Travel & Reg,0,3630,false,0
General Fund,City Attorney,Direct Expenses,Photocopy Maint,0,3650,false,0
General Fund,Development Services,Direct Expenses,Motor Fuels & Lubricants,69,3660,false,0
SWS Operating Fund,Solid Waste Admin,Salaries and Wages,Expense Allowance,0,3661,false,0
General Fund,Police Administrative Services,Direct Expenses,Pest Control Service,200,3700,false,0
General Fund,Police Administrative Services,Employee Benefits,Retirement Temp,0,3700,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Computer Operations & Access,0,3700,false,0
General Fund,PRCR - F&O - City Fac Maint,Miscellaneous,Licenses/Dues & Publications,2450,3726.5,false,0
General Fund,Emergency Communications,Direct Expenses,Copier Maintenance/Impressions,25,3730,false,0
General Fund,City Manager,Direct Expenses,Special Projects & Programs,0,3750,false,0
General Fund,Fire Adm,Direct Expenses,Cellular/Wireless Voice Lines,-29250,3750,false,0
General Fund,Planning,Direct Expenses,Small Equipment,-3530,3750,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,RCC/PAC Local Transportation,180,3750,false,0
Stormwater Utility Fund,Stormwater Management,Direct Expenses,Copier Maintenance/Impressions,-1183,3755,false,0
General Fund,Emergency Communications,Direct Expenses,Photocopy Maint,-25,3775,false,0
